city,population,area,density,country
Shanghai,24256800,6340,3826,China
Beijing,21516000,16411,1311,China
Delhi,16787941,1484,11313,India
Lagos,16060303,1171,13712,Nigeria
Tianjin,15200000,11760,1293,China
Karachi,14910352,3527,4572,Pakistan
Istanbul,14160467,5461,2593,Turkey
Tokyo,13513734,2191,6168,Japan
Guangzhou,13080500,7434,1759,China
Mumbai,12442373,6034,20680,India
Moscow,12380664,2510,4859,Russia
Sao Paulo,12038175,1521,7914,Brazil
Lahore,11126285,1772,5673,Pakistan
Shenzhen,10467400,1992,5256,China
Jakarta,10075310,664,15171,Indonesia
Seoul,9995784,605,17134,South Korea
Wuhan,9785392,1328,5187,China
Kinshasa,9735000,1118,8710,Congo
Cairo,9278441,3085,3008,Egypt
Dhaka,8906039,300,29687,Bangladesh
Mexico City,8874724,1486,5974,Mexico
Lima,8693387,2672,3253,Peru
London,8673713,1572,5431,United Kingdom
New York City,8537673,784,10892,United States
Bengaluru,8443675,741,11876,India
Bangkok,8280925,1569,5279,Thailand
Ho Chi Minh City,8224400,2096,3925,Vietnam
Dongguan,8220207,2469,3329,China
Chongqing,8189800,5473,1496,China
Nanjing,8187828,4714,1737,China
